,app_name,publisher,discount_price,early_access,genres,id,metascore,price,developer,release_date,reviews_url,sentiment,tags,title,url
189,Pupperazzi,Kitfox Games,224.99,0,"Action,Casual,Indie",1028350.0,73.0,224.99,Sundae MonthKitfox Games,20 Jan 2022,http://steamcommunity.com/app/1028350/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Photo Editing,Exploration,Open World,Sandbox,Creature Collector,Collectathon,Relaxing,Cute,First-Person,Dog,Funny,Casual,Controller,Family Friendly,Horses,Simulation,Colorful,Stylized,Walking Simulator,Adventure",Pupperazzi,https://store.steampowered.com/app/1028350/Pupperazzi/
190,Expeditions: Rome,THQ Nordic,1659.0,0,"RPG,Strategy",987840.0,80.0,1659.0,Logic ArtistsTHQ Nordic,20 Jan 2022,http://steamcommunity.com/app/987840/reviews/?browsefilter=mostrecent&p=1,Very Positive,"RPG,Strategy,Turn-Based Strategy,Party-Based RPG,CRPG,Tactical RPG,Turn-Based Tactics,3D,Top-Down,Rome,Atmospheric,Historical,Tactical,Choices Matter,Female Protagonist,Story Rich,Singleplayer,Turn-Based Combat",Expeditions: Rome,https://store.steampowered.com/app/987840/Expeditions_Rome/
775,DRAGON BALL Z: KAKAROT,BANDAI NAMCO Entertainment,2716.29,0,"Action,RPG",851850.0,73.0,2716.29,CyberConnect2 Co. Ltd.BANDAI NAMCO Entertainment,2 Co. Ltd.Publisher:BANDAI NAMCO EntertainmentFranchise:FRANCHISE BANDAI NAMCO Entertainment 16 Jan 2020,http://steamcommunity.com/app/851850/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Action,RPG,Anime,Open World,Fighting,Multiplayer,Singleplayer,Story Rich,Adventure,JRPG,Great Soundtrack,Controller,Action RPG,Fantasy,Beat 'em up,Dragons,Difficult,Atmospheric,Third Person,Nudity",DRAGON BALL Z: KAKAROT,https://store.steampowered.com/app/851850/DRAGON_BALL_Z_KAKAROT/
825,Praey for the Gods,No Matter Studios,110.49,0,"Action,Adventure,Indie,RPG",494430.0,71.0,110.49,No Matter StudiosNo Matter Studios,14 Dec 2021,http://steamcommunity.com/app/494430/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Action-Adventure,3D Platformer,Female Protagonist,Exploration,Atmospheric,Open World,Puzzle Platformer,Adventure,Mythology,Third Person,Dark Fantasy,Fantasy,Lore-Rich,Crafting,Cinematic,Survival,Controller,Singleplayer,Action,Soundtrack",Praey for the Gods,https://store.steampowered.com/app/494430/Praey_for_the_Gods/
1311,Arcadia Fallen,Galdra Studios,155.68,0,"Adventure,Casual,Indie,RPG,Simulation",1174640.0,76.0,155.68,Galdra StudiosGaldra Studios,17 Nov 2021,http://steamcommunity.com/app/1174640/reviews/?browsefilter=mostrecent&p=1,Positive,"Visual Novel,Story Rich,Choose Your Own Adventure,RPG,Romance,LGBTQ+,Puzzle,Funny,Character Customization,Female Protagonist,Dating Sim,Immersive Sim,Text-Based,Lore-Rich,Choices Matter,Otome,Cute,2D,Comic Book,Medieval",Arcadia Fallen,https://store.steampowered.com/app/1174640/Arcadia_Fallen/
1323,Hammerting,Team17 Digital,368.49,0,"Adventure,Indie,RPG,Simulation,Strategy",760650.0,62.0,549.99,Warpzone StudiosTeam17 Digital,17 DigitalFranchise:Team17 Digital 16 Nov 2021,http://steamcommunity.com/app/760650/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"Colony Sim,Base Building,Simulation,Management,Automation,Mining,Building,Economy,Crafting,Inventory Management,Resource Management,Strategy,Fantasy,Lore-Rich,RPG,Exploration,Procedural Generation,Singleplayer,Mod,2.5D",Hammerting,https://store.steampowered.com/app/760650/Hammerting/
1338,Grow: Song of the Evertree,505 Games,1349.25,0,"Action,Adventure,Casual",1380420.0,78.0,1799.0,Prideful Sloth505 Games,505 GamesFranchise:505 Games Official 16 Nov 2021,http://steamcommunity.com/app/1380420/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Adventure,Casual,Simulation,Farming Sim,Exploration,Open World,Sandbox,City Builder,Life Sim,Cute,Colorful,Third Person,Agriculture,Atmospheric,Family Friendly,Fantasy,Management,Nature,Relaxing,Action",Grow: Song of the Evertree,https://store.steampowered.com/app/1380420/Grow_Song_of_the_Evertree/
1623,Unpacking,Humble Games,119.99,0,"Casual,Indie,Simulation",1135690.0,84.0,119.99,Witch BeamHumble Games,1 Nov 2021,http://steamcommunity.com/app/1135690/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Relaxing,Story Rich,Pixel Graphics,Cute,Casual,Simulation,Life Sim,Puzzle,Atmospheric,Isometric,Singleplayer,Indie,Female Protagonist,Family Friendly,Colorful,Point & Click,Inventory Management,Hidden Object,Experimental,2D",Unpacking,https://store.steampowered.com/app/1135690/Unpacking/
1789,Prince of Qin,Strategy First,77.99,0,"Action,Adventure,RPG",1717410.0,61.0,129.99,Object SoftwareStrategy First,26 Oct 2021,http://steamcommunity.com/app/1717410/reviews/?browsefilter=mostrecent&p=1,Positive,"Exploration,RPG,Tactical RPG,Action,Action RPG,Action-Adventure,2.5D,Historical,Story Rich,Adventure,Medieval,Singleplayer,Combat",Prince of Qin,https://store.steampowered.com/app/1717410/Prince_of_Qin/
1883,Killsquad,Novarama,134.99,0,"Action,Indie,RPG",910490.0,73.0,224.99,NovaramaNovarama,16 Jul 2019,http://steamcommunity.com/app/910490/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"Action,Hack and Slash,Top-Down Shooter,Co-op,Online Co-Op,RPG,Loot,Twin Stick Shooter,Action RPG,Indie,Top-Down,Multiplayer,Dungeon Crawler,Sci-fi,Bullet Hell,Isometric,Gun Customization,Procedural Generation,Singleplayer,Early Access",Killsquad,https://store.steampowered.com/app/910490/Killsquad/
