,genre,avg_score
0,Indie,71.70588235294117
1,Action,71.73601570166831
2,Casual,71.82638888888889
3,Adventure,71.84689507494647
4,Simulation,71.46327683615819
5,Strategy,72.6855241264559
6,RPG,72.90947368421052
7,Unknown,73.45
8,Free to Play,73.88235294117646
9,Early Access,78.33333333333333
10,Sports,72.01408450704226
11,Racing,71.47058823529412
12,Massively Multiplayer,75.3076923076923
13,Design &amp; Illustration,72.97165446075446
14,Web Publishing,72.97165446075446
15,Utilities,72.97165446075446
16,Animation &amp; Modeling,72.97165446075446
17,Education,72.97165446075446
18,Software Training,72.97165446075446
19,Video Production,72.97165446075446
20,Game Development,72.97165446075446
21,Photo Editing,72.97165446075446
22,Audio Production,72.97165446075446
23,Accounting,72.97165446075446
