,tag,avg_score
0,Indie,71.59229058561898
1,Action,72.26592356687898
2,Casual,72.64587525150905
3,Adventure,72.33768352365416
4,Singleplayer,73.67483870967742
5,Simulation,72.0040733197556
6,Strategy,72.85495118549512
7,RPG,73.19928825622776
8,2D,74.75331125827815
9,Puzzle,73.51238095238095
10,Atmospheric,73.97256515775034
11,Pixel Graphics,74.5859375
12,Multiplayer,73.94144144144144
13,Fantasy,73.55759162303664
14,Early Access,69.94444444444444
15,Free to Play,72.73611111111111
16,Story Rich,74.60912052117264
17,Colorful,74.85128205128206
18,Arcade,74.12562814070351
19,3D,71.83673469387755
20,Cute,74.56744186046511
21,First-Person,72.12790697674419
22,Funny,74.34096692111959
23,Platformer,73.65527065527066
24,Exploration,73.85
25,Sci-fi,73.52232142857143
26,VR,73.51063829787235
27,Retro,75.08502024291498
28,Family Friendly,73.72131147540983
29,Shooter,72.11151079136691
30,Anime,74.20382165605096
31,Horror,69.64312267657992
32,Great Soundtrack,75.39262187088273
33,Difficult,75.3025641025641
34,Sports,73.62068965517241
35,Relaxing,76.09183673469387
36,Violent,73.03370786516854
37,Female Protagonist,73.20958083832335
38,Co-op,74.32241813602015
39,Open World,73.89317507418397
40,Action-Adventure,72.74789915966386
41,Survival,70.63636363636364
42,Gore,73.01538461538462
43,Comedy,74.39416058394161
44,Racing,72.42574257425743
45,Visual Novel,75.42168674698796
46,Old School,74.97101449275362
47,Third Person,72.49242424242425
48,Turn-Based,74.47297297297297
49,Physics,73.24038461538461
50,Shoot 'Em Up,73.90322580645162
51,Point & Click,72.67588932806323
52,FPS,72.07142857142857
53,Top-Down,72.83720930232558
54,Stylized,74.08510638297872
55,Realistic,72.86274509803921
56,Space,73.90055248618785
57,Online Co-Op,74.92307692307692
58,Sandbox,72.75706214689265
59,Mystery,72.05294117647058
60,2D Platformer,76.39024390243902
61,Minimalist,76.22916666666667
62,PvP,74.25252525252525
63,Cartoony,73.71428571428571
64,Choices Matter,74.86666666666666
65,Nudity,71.53125
66,Massively Multiplayer,74.3157894736842
67,Side Scroller,73.83974358974359
68,Local Multiplayer,74.1271676300578
69,Controller,73.93809523809524
70,Sexual Content,72.29545454545455
71,Psychological Horror,71.44055944055944
72,Dark,72.11643835616438
73,Puzzle Platformer,74.23134328358209
74,Design & Illustration,74.8
75,Management,71.85384615384615
76,Combat,75.04878048780488
77,Tactical,75.07142857142857
78,Multiple Endings,74.48863636363636
79,Building,73.42708333333333
80,Medieval,73.74358974358974
81,Replay Value,76.18796992481202
82,Turn-Based Strategy,75.02890173410404
83,Party-Based RPG,76.25
84,Education,74.91304347826087
85,1980s,72.04545454545455
86,Hand-drawn,74.1010101010101
87,Tabletop,71.08695652173913
88,Linear,76.03846153846153
89,Local Co-Op,73.91878172588832
90,Hidden Object,72.03846153846153
91,Character Customization,74.25
92,Roguelike,73.31617647058823
93,Software,73.61819447512353
94,Procedural Generation,72.89583333333333
95,Action RPG,72.525
96,Magic,73.89772727272727
97,Cartoon,76.26190476190476
98,Utilities,73.61819447512353
99,Classic,76.88979591836734
100,Futuristic,75.53246753246754
101,3D Platformer,70.8923076923077
102,Historical,73.54705882352941
103,Logic,73.38888888888889
104,Survival Horror,68.70422535211267
105,Turn-Based Combat,75.57281553398059
106,Roguelite,73.52586206896552
107,Bullet Hell,76.87037037037037
108,PvE,74.11538461538461
109,Web Publishing,73.61819447512353
110,Zombies,70.3
111,Turn-Based Tactics,74.81318681318682
112,JRPG,74.18032786885246
113,Short,71.74626865671642
114,War,75.06766917293233
115,Fast-Paced,75.48275862068965
116,Crafting,70.87837837837837
117,Hack and Slash,71.47552447552448
118,Interactive Fiction,74.05357142857143
119,Walking Simulator,70.67521367521367
120,Choose Your Own Adventure,73.19565217391305
121,Resource Management,73.52941176470588
122,Top-Down Shooter,72.13513513513513
123,RTS,73.74269005847954
124,Dungeon Crawler,74.27906976744185
125,RPGMaker,72.54545454545455
126,Surreal,74.43434343434343
127,Score Attack,77.58823529411765
128,Experimental,72.84444444444445
129,Isometric,73.24503311258277
130,Post-apocalyptic,70.37209302325581
131,Romance,76.15384615384616
132,Board Game,73.32352941176471
133,Card Game,74.5111111111111
134,Drama,74.31111111111112
135,Memes,72.64814814814815
136,Military,76.22340425531915
137,1990's,76.01785714285714
138,Dark Fantasy,74.06976744186046
139,Base Building,74.38571428571429
140,Stealth,70.75
141,Driving,74.41379310344827
142,Flight,73.2127659574468
143,4 Player Local,73.9
144,Abstract,73.5
145,2.5D,72.975
146,Tower Defense,72.98245614035088
147,Text-Based,77.4
148,Robots,72.08450704225352
149,Fighting,71.52941176470588
150,Cyberpunk,72.4065934065934
151,Action Roguelike,73.28767123287672
152,Narration,74.34545454545454
153,Aliens,75.71186440677967
154,Beautiful,74.5679012345679
155,Music,76.18867924528301
156,Dating Sim,74.23809523809524
157,Nature,72.8076923076923
158,Emotional,76.07843137254902
159,Precision Platformer,78.70588235294117
160,Competitive,76.56716417910448
161,Immersive Sim,71.6470588235294
162,Detective,74.17948717948718
163,Economy,72.71641791044776
164,Third-Person Shooter,71.58730158730158
165,Investigation,74.84
166,Perma Death,75.05882352941177
167,Animation & Modeling,60.0
168,Dark Humor,71.64912280701755
169,Beat 'em up,72.37931034482759
170,Arena Shooter,72.66666666666667
171,Clicker,76.0
172,Real Time Tactics,77.11363636363636
173,City Builder,73.66176470588235
174,Time Management,77.125
175,Metroidvania,75.66666666666667
176,Wargame,74.5945945945946
177,Level Editor,76.29310344827586
178,Tutorial,77.66666666666667
179,Mature,72.86486486486487
180,Cinematic,74.02631578947368
181,LGBTQ+,74.56818181818181
182,Psychedelic,77.76923076923077
183,Moddable,78.26666666666667
184,Team-Based,76.66666666666667
185,Conversation,74.73076923076923
186,Twin Stick Shooter,72.30232558139535
187,Psychological,71.45454545454545
188,Automobile Sim,73.2127659574468
189,Runner,74.16666666666667
190,Strategy RPG,71.08823529411765
191,Life Sim,75.5
192,Game Development,68.0
193,Tactical RPG,73.50980392156863
194,Character Action Game,71.6
195,World War II,73.7012987012987
196,Match 3,76.0
197,Rhythm,75.06451612903226
198,Destruction,71.0
199,Thriller,70.0
200,Dystopian,74.40625
201,Nonlinear,75.48148148148148
202,Soundtrack,76.88461538461539
203,2D Fighter,72.45833333333333
204,Demons,67.72727272727273
205,Grand Strategy,76.76923076923077
206,Comic Book,75.8076923076923
207,Artificial Intelligence,76.41666666666667
208,Alternate History,72.1891891891892
209,Parkour,72.47368421052632
210,Video Production,73.61819447512353
211,Space Sim,72.57692307692308
212,Loot,74.46938775510205
213,Software Training,73.61819447512353
214,Modern,68.66666666666667
215,Supernatural,72.66666666666667
216,Grid-Based Movement,71.65
217,Science,77.63636363636364
218,Split Screen,74.0
219,CRPG,77.82978723404256
220,Philosophical,75.91304347826087
221,Souls-like,74.16666666666667
222,Lore-Rich,74.6
223,Inventory Management,73.125
224,Hentai,71.2
225,Collectathon,72.33333333333333
226,Mythology,74.9090909090909
227,Mouse only,75.43333333333334
228,Lovecraftian,75.375
229,Dark Comedy,75.30434782608695
230,Idler,66.66666666666667
231,Addictive,79.5
232,Card Battler,76.6
233,Cats,73.0
234,eSports,78.44444444444444
235,Crime,72.37037037037037
236,Voxel,76.44444444444444
237,MMORPG,73.48
238,Photo Editing,78.5
239,Open World Survival Craft,70.22222222222223
240,Steampunk,71.95161290322581
241,Cult Classic,75.78461538461538
242,Swordplay,74.6842105263158
243,Deckbuilding,75.45833333333333
244,Noir,73.42857142857143
245,Dragons,70.93333333333334
246,Tanks,71.52941176470588
247,Mechs,73.37037037037037
248,6DOF,70.66666666666667
249,Real-Time,73.90697674418605
250,Audio Production,78.0
